strain	temp	timepoint	OD600	od_factor	total_time_h	time_since_dil_h	blank_od	timestamp	date	batch	MPN
ST00164	28	t_3	0.567	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00042	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00042	32	t_1	0.481	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00042	32	t_2	0.49	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00042	32	t_3	0.423	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00046	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00046	32	t_1	0.20299999999999999	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00046	32	t_2	0.18	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00046	32	t_3	0.148	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00060	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00060	32	t_1	0.828	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00060	32	t_2	0.661	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00060	32	t_3	0.335	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00094	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00094	32	t_1	0.601	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00094	32	t_2	0.604	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00094	32	t_3	0.538	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00101	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00101	32	t_1	0.4	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00101	32	t_2	0.391	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00101	32	t_3	0.338	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00109	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00109	32	t_1	0.079	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00109	32	t_2	0.147	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00109	32	t_3	0.091	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00110	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00110	32	t_1	0.218	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00110	32	t_2	0.237	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00110	32	t_3	0.222	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00143	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00143	32	t_1	0.143	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00143	32	t_2	0.108	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00143	32	t_3	0.095	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00154	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00154	32	t_1	0.347	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00154	32	t_2	0.399	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00154	32	t_3	0.232	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00164	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00164	32	t_1	0.734	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00164	32	t_2	0.661	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00164	32	t_3	0.652	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00154	28	t_1	0.267	1	24	24	0.005	12:45:00	2024-07-10	ML1	15542110000
ST00154	28	t_2	0.238	1	48	24	0.002	12:50:00	2024-07-11	ML1	7738802000
ST00143	28	t_1	0.165	1	24	24	0.005	12:45:00	2024-07-10	ML1	105981500
ST00143	28	t_2	0.11599999999999999	1	48	24	0.002	12:50:00	2024-07-11	ML1	76980230
ST00110	28	t_1	0.227	1	24	24	0.005	12:45:00	2024-07-10	ML1	770170300
ST00110	28	t_2	0.27	1	48	24	0.002	12:50:00	2024-07-11	ML1	5779087000
ST00109	28	t_1	0.091	1	24	24	0.005	12:45:00	2024-07-10	ML1	105981500
ST00109	28	t_2	0.138	1	48	24	0.002	12:50:00	2024-07-11	ML1	15354200
ST00154	32	t_1	0.346	1	24	24	-0.002	12:52:00	2024-07-10	ML1	NA
ST00154	32	t_2	0.268	1	48	24	0.004	12:46:00	2024-07-11	ML1	543315300
ST00143	32	t_1	0.101	1	24	24	-0.002	12:52:00	2024-07-10	ML1	1537255000
ST00143	32	t_2	0.136	1	48	24	0.004	12:46:00	2024-07-11	ML1	10682210000
ST00110	32	t_1	0.214	1	24	24	-0.002	12:52:00	2024-07-10	ML1	NA
ST00110	32	t_2	0.156	1	48	24	0.004	12:46:00	2024-07-11	ML1	15354200
ST00109	32	t_1	0.115	1	24	24	-0.002	12:52:00	2024-07-10	ML1	153558600
ST00109	32	t_2	0.078	1	48	24	0.004	12:46:00	2024-07-11	ML1	15542110000
ST00154	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
